title_text,title_url,green_line,doc_url,abstract
Deliberação no YouTube? Debates em torno da questão LGBT,http://compolitica.org/revista/index.php/revista/article/view/57,"<div class=""gs_a"">WM de Oliveira, <a href=""/citations?user=WLetvH4AAAAJ&amp;hl=pt-BR&amp;oi=sra"">R Sarmento</a>, <a href=""/citations?user=qnUN3V8AAAAJ&amp;hl=pt-BR&amp;oi=sra"">RF Mendonça</a> - Compolítica, 2014 - compolitica.org</div>",http://compolitica.org/revista/index.php/revista/article/download/57/59,"… Doutor em Comunicação e Professor do Departamento de Ciência Política da UFMG, bolsista …
A relação entre maior participação dos cidadãos e o potencial comunicativo em plataformas
on-line como YouTube, Twitter e Facebook, tem sido objeto de uma série de reflexões … 
"
A política dos memes e os memes da política: proposta metodológica de análise de conteúdo de memes dos debates eleitorais de 2014,https://www.seer.ufrgs.br/intexto/article/view/63892,"<div class=""gs_a""><a href=""/citations?user=F02DKoAAAAAJ&amp;hl=pt-BR&amp;oi=sra"">V Chagas</a>, <a href=""/citations?user=qzPuxT4AAAAJ&amp;hl=pt-BR&amp;oi=sra"">FA Freire</a>, D Rios, <a href=""/citations?user=kiqJNkYAAAAJ&amp;hl=pt-BR&amp;oi=sra"">D Magalhães</a> - Intexto, 2017 - seer.ufrgs.br</div>",https://www.seer.ufrgs.br/intexto/article/viewFile/63892/40226,"… informação e comunicação, reforça ainda mais a importância de se pensar o uso do humor … A
política dos memes e os memes da política: proposta metodológica de análise de conteúdo de …
Em uma análise de conteúdo com vídeos do YouTube, Shifman (2014) propõe que o … 
"
[CITAÇÃO][C] Estratégias de Comunicação Política Online: Uma Análise do Perfil de José Serra no Twitter//Political Campaigns and Online Strategies: The case of the …,NA,"<div class=""gs_a""><a href=""/citations?user=-VEH3XEAAAAJ&amp;hl=pt-BR&amp;oi=sra"">FPJA Marques</a>, FWO Silva, NR Matos - Contemporânea, 2011</div>",https://www.researchgate.net/profile/Francisco_Paulo_Marques/publication/301700180_Estrategias_de_Comunicacao_Pol'itica_Online_Uma_Analise_do_Perfil_de_Jose_Serra_no_Twitter/links/5b0a13754585157f8718dc33/Estrategias-de-Comunicacao-Politica-Online-Uma-Analise-do-Perfil-de-Jose-Serra-no-Twitter.pdf,NA
[PDF][PDF] YouTube e a revolução digital,https://edisciplinas.usp.br/pluginfile.php/2205278/mod_resource/content/1/Burgess%20et%20al.%20-%202009%20-%20YouTube%20e%20a%20Revolu%C3%A7%C3%A3o%20Digital%20Como%20o%20maior%20fen%C3%B4meno%20da%20cultura%20participativa%20transformou%20a%20m%C3%ADdia%20e%20a%20socieda.pdf,"<div class=""gs_a""><a href=""/citations?user=dfpq_bkAAAAJ&amp;hl=pt-BR&amp;oi=sra"">J Burgess</a>, J Green - São Paulo: Aleph, 2009 - edisciplinas.usp.br</div>",https://edisciplinas.usp.br/pluginfile.php/2205278/mod_resource/content/1/Burgess%20et%20al.%20-%202009%20-%20YouTube%20e%20a%20Revolu%C3%A7%C3%A3o%20Digital%20Como%20o%20maior%20fen%C3%B4meno%20da%20cultura%20participativa%20transformou%20a%20m%C3%ADdia%20e%20a%20socieda.pdf,"… apresenta como potencial e não como realidade atual), mas o You- Tube prova que … formas dessa
cultura emergem e, particularmente (como no caso do YouTube), quando essas … da cultura popular
são sintomas de modernidade, atreladas às mudanças na política de classes … 
"
O uso da Internet nas campanhas eleitorais: balanço do debate e algumas evidências sobre o Brasil,http://www.periodicos.usp.br/revusp/article/view/34012,"<div class=""gs_a"">S BRAGA - Revista USP, 2011 - periodicos.usp.br</div>",http://www.periodicos.usp.br/revusp/article/download/34012/36746,"… by the candidates, such as Twitter, Facebook and video postings on Youtube, which replaced …
deste traba- lho foi incluída no livro Políticas e Gestão da Comunicação no Brasil … A diferença
agora, após a experiência política propiciada pela campanha eleitoral e pela primeira … 
"
[CITAÇÃO][C] Redes sociais e participação política na esfera pública,NA,"<div class=""gs_a""><a href=""/citations?user=eYu1xIMAAAAJ&amp;hl=pt-BR&amp;oi=sra"">JA de Oliveira</a> - Revista Eptic, 2012</div>",https://seer.ufs.br/index.php/eptic/article/viewFile/379/319,NA
Twitter e comunicação política: limites e possibilidades,http://bibliotecadigital.tse.jus.br/xmlui/handle/bdtse/2824,"<div class=""gs_a"">G Rosseto, <a href=""/citations?user=m9ovLroAAAAJ&amp;hl=pt-BR&amp;oi=sra"">R Carreiro</a>, MP Almada - 2013 - bibliotecadigital.tse.jus.br</div>",http://bibliotecadigital.tse.jus.br/xmlui/bitstream/handle/bdtse/2824/2013_rossetto_twitter_comunicacao_politica.pdf?sequence=1,"… postagens de vídeos no Youtube substituindo mecanismos … In: III Congresso da Associação
Brasileira de Pesquisadores em Comunicação e Política, 2009, São Paulo. Anais III Congresso
Compolítica, 2011 … Anais do III Seminário Nacional de Ciência Política, 2010 … 
"
[HTML][HTML] Campanhas eleitorais e cobertura mediática: abordagens teóricas e contributos para a compreensão das interações entre política e media,http://www.scielo.br/scielo.php?pid=S0103-33522012000300009&script=sci_arttext,"<div class=""gs_a""><a href=""/citations?user=5Fr4LQEAAAAJ&amp;hl=pt-BR&amp;oi=sra"">S Salgado</a> - Revista Brasileira de <b>Ciência Política</b>, 2012 - SciELO Brasil</div>",http://www.scielo.br/scielo.php?pid=S0103-33522012000300009&script=sci_arttext,"… É o caso dos websites dos partidos, do YouTube, ou das ferramentas on-line que permitem … a
compreender a influência que os meios de comunicação exercem na mensagem política e
sugerem … Não só porque os meios de comunicação são a melhor forma – e, muitas vezes, a … 
"
[PDF][PDF] Marketing político na era digital: perspectivas e possibilidades,https://www.revistas.usp.br/revusp/article/download/34009/36743,"<div class=""gs_a""><a href=""/citations?user=Wmx1FEsAAAAJ&amp;hl=pt-BR&amp;oi=sra"">CLDEC PENTEADO</a> - Revista USP, 2011 - revistas.usp.br</div>",https://www.revistas.usp.br/revusp/article/download/34009/36743,"… que são disponibilizados em plataforma de compartilhamento de mensagens au- diovisuais
(YouTube) … como mecanismos alternativos de produção, circulação e transmissão de informação
política (Penteado et al … e os eleitores têm mais um canal de comunicação, inclusive os … 
"
"[HTML][HTML] "" Politics 2.0"": a campanha online de Barack Obama em 2008",http://www.scielo.br/scielo.php?pid=S0104-44782009000300004&script=sci_arttext&tlng=pt,"<div class=""gs_a""><a href=""/citations?user=5-Wi0LgAAAAJ&amp;hl=pt-BR&amp;oi=sra"">W Gomes</a>, B Fernandes, L Reis, <a href=""/citations?user=0ShNd7YAAAAJ&amp;hl=pt-BR&amp;oi=sra"">T Silva</a> - … de Sociologia e <b>Política</b>, 2009 - SciELO Brasil</div>",http://www.scielo.br/scielo.php?pid=S0104-44782009000300004&script=sci_arttext&tlng=pt,"… a seu sítio, que poderia levá-lo ao seu canal de vídeos no Youtube ou à … um sítio de
relacionamento social de apoio ao candidato exclusivamente voltada à discussão política … numa
prospecção e numa análise de tendências relacionadas aos recursos de comunicação on-line … 
"
